uniprot,entrez,symbol
A0A023QDH4,NA,CYTB
A0A023QE67,NA,ATP6
A0A023QEM9,NA,ATP6
A0A023QEQ5,NA,ND5
A0A023QEV0,NA,ATP6
A0A023QFF6,NA,ND6
A0A023QFH0,NA,ND5
A0A023QFT1,NA,ND1
A0A023QFT6,NA,ATP6
A0A023QFX6,NA,ND2
A0A023QG09,NA,ND5
A0A023QG73,NA,ND1
A0A023QGA7,NA,ND4
A0A023QGC0,NA,ND4
A0A023QGG0,NA,ND5
A0A023QGK4,NA,COX3
A0A023QGP6,NA,ATP6
A0A023QGP7,NA,COX1
A0A023QH23,NA,CYTB
A0A023QHC9,NA,ND2
A0A023QHD1,NA,ND4
A0A023QHN5,NA,ND1
A0A023QHY5,NA,ATP6
A0A023QIL7,NA,ND4L
A0A023QIP2,NA,ND2
A0A023QJS4,NA,CYTB
A0A023QK46,NA,ND2
A0A023QKB4,NA,ND1
A0A023QKD1,NA,ND5
A0A023QKL5,NA,ND5
A0A023QKQ2,NA,ND1
A0A023QKT8,NA,COX3
A0A023QL98,NA,ND1
A0A023QLI9,NA,ND4L
A0A023QLJ8,NA,ATP6
A0A023QLW1,NA,CYTB
A0A023QMR7,NA,ND1
A0A023QMV4,NA,ATP6
A0A023QNG3,NA,ND4
A0A023QP33,NA,ND4L
A0A023QQ40,NA,ND5
A0A023QQ48,NA,COX1
A0A023QQE5,NA,ND6
A0A023QQQ9,NA,ND4
A0A023QR14,NA,ATP6
A0A023QR60,NA,ND1
A0A023QR89,NA,COX1
A0A023QRB1,NA,ND4L
A0A023QRE4,NA,CYTB
A0A023QRK5,NA,ND6
A0A023QRX9,NA,COX2
A0A023QRY9,NA,ND1
A0A023QS10,NA,ND5
A0A023QS65,NA,CYTB
A0A023QSC6,NA,ND3
A0A023QSL8,NA,ND5
A0A023QSS7,NA,ND5
A0A023QST8,NA,ND1
A0A023QSV5,NA,CYTB
A0A023QSW5,NA,COX3
A0A023QT03,NA,ND4
A0A023QT24,NA,COX1
A0A023QT79,NA,COX1
A0A023QTT5,NA,ATP6
A0A023QTW4,NA,ND4
A0A023QTY8,NA,ND5
A0A023QUA7,NA,ND5
A0A023QUB1,NA,CYTB
A0A023QUC2,NA,ND4
A0A023QUI5,NA,COX1
A0A023QUI7,NA,ND1
A0A023QUR1,NA,COX1
A0A023QV63,NA,CYTB
A0A023QV97,NA,ND5
A0A023QVA6,NA,ND5
A0A023QVC6,NA,ND5
A0A023QVM5,NA,ND4
A0A023QW19,NA,ATP6
A0A023QW57,NA,ND1
A0A023QW72,NA,COX3
A0A023QWE4,NA,CYTB
A0A023QWK0,NA,ND4
A0A023QWQ3,NA,ND1
A0A023QX54,NA,ND6
A0A023QXG8,NA,ND1
A0A023QXJ5,NA,ND1
A0A023QXN0,NA,ATP8
A0A023QXT5,NA,ND1
A0A023QYE6,NA,ATP6
A0A023QYN1,NA,ND1
A0A023QYP8,NA,COX1
A0A023QYQ2,NA,CYTB
A0A023QZ25,NA,COX2
A0A023QZ27,NA,COX3
A0A023QZ36,NA,ND1
A0A023QZ55,NA,COX1
A0A023QZ89,NA,ATP8
A0A023QZD2,NA,CYTB
A0A023QZJ5,NA,ND2
A0A023QZN9,NA,ATP6
A0A023QZZ1,NA,ND1
A0A023R019,NA,CYTB
A0A023R170,NA,ND1
A0A023R1P6,NA,CYTB
A0A023R1Q4,NA,CYTB
A0A023R1S1,NA,ND1
A0A023R2I7,NA,ND1
A0A023R2S6,NA,ND3
A0A023R2W4,NA,COX3
A0A023R385,NA,ND6
A0A023R388,NA,ND1
A0A023R397,NA,CYTB
A0A023R4E0,NA,CYTB
A0A023R4Q0,NA,ND1
A0A023R4U6,NA,ND5
A0A023R5A9,NA,COX1
A0A023R5M9,NA,ATP6
A0A023R5N9,NA,ND1
A0A023R5S7,NA,ND6
A0A023R619,NA,CYTB
A0A023R622,NA,ND3
A0A023R6I9,NA,COX1
A0A023RCN6,NA,COX1
A0A023REG7,NA,ND5
A0A023RF30,NA,CYTB
A0A023SER7,NA,MICA
A0A023SGA8,NA,MICA
A0A023T393,NA,HLA-B
A0A023T398,NA,HLA-B
A0A023T424,NA,HLA-B
A0A023T428,NA,HLA-B
A0A023T4T9,NA,HLA-B
A0A023T4U2,NA,HLA-B
A0A023T5E6,NA,HLA-B
A0A023T5F1,NA,HLA-B
A0A023T5F6,NA,HLA-B
A0A023T5V9,NA,HLA-B
A0A023T5W2,NA,HLA-B
A0A023T695,989,NA
A0A023UFG1,NA,PRDM14
A0A023UN48,NA,RHAG
A0A023VRX5,NA,HLA-DRB1
A0A023VT86,NA,HLA-DRB1
A0A023VWE2,NA,HLA-B
A0A023W2C2,NA,ABO
A0A023W307,NA,ABO
A0A023W4F4,NA,RHD
A0A023W596,NA,RHD
A0A023ZSE2,NA,ND2
A0A023ZT78,NA,ND2
A0A023ZYH6,NA,ZP1
A0A024A2P5,NA,ALK fusion
A0A024D9P8,NA,ITGB2
A0A024D9S0,NA,ITGB2
A0A024DAE5,NA,ITGB2
A0A024DAF4,NA,ITGB2
A0A024DAS2,NA,ITGB2
A0A024DAS5,NA,ITGB2
A0A024DAT2,NA,ITGB2
A0A024DBF0,NA,ITGB2
A0A024DBF8,NA,ITGB2
A0A024DBG3,NA,ITGB2
A0A024DBG7,NA,TYR
A0A024F8H3,NA,HLA-B
A0A024F8Q5,NA,HLA-DRB4
A0A024F8R0,NA,HLA-DRB5
A0A024F8R8,NA,HLA-DRB1
A0A024F8S3,NA,HLA-DRB3
A0A024F8S6,NA,HLA-DRB5
A0A024F979,NA,HLA-DRB3
A0A024F986,NA,HLA-DRB4
A0A024F9R7,NA,HLA-DRB1
A0A024F9S2,NA,HLA-DRB3
A0A024F9S8,NA,HLA-DRB4
A0A024F9U8,NA,HLA-DRB4
A0A024F9V3,NA,HLA-DRB5
A0A024J3X2,NA,HLA-A
A0A024J4R7,NA,HLA-DRB1
A0A024K712,NA,HLA-B
A0A024QYR3,9777,NA
A0A024QYR6,NA,PTEN
A0A024QYS2,56889,NA
A0A024QYV0,NA,GUSBL2
A0A024QYV6,NA,C7orf19
A0A024QYV7,23204,NA
A0A024QYV8,NA,CP110
A0A024QYW1,NA,TMEM191C
A0A024QYW6,NA,WDR45
A0A024QYY1,NA,EPN2
A0A024QYY7,NA,ULK2
A0A024QYY8,NA,GUSBL2
A0A024QYZ9,NA,CEP72
A0A024QZ14,NA,PIGS
A0A024QZ41,NA,TMEM97
A0A024QZ50,NA,FLJ25006
A0A024QZ54,NA,ERICH1
A0A024QZ61,NA,MYOM2
A0A024QZ62,2319,NA
A0A024QZ63,399687,NA
A0A024QZ72,NA,PRDM2
A0A024QZ73,NA,PRDM2
A0A024QZ82,NA,EFHD2
A0A024QZ89,NA,COG4
A0A024QZ90,11269,NA
A0A024QZ91,NA,ATXN2L
A0A024QZ99,NA,MGC3020
A0A024QZB7,NA,ATXN2L
A0A024QZB9,NA,ZNF553
A0A024QZC0,NA,ATXN2L
A0A024QZC5,NA,FBS1
A0A024QZD0,NA,CLN3
A0A024QZD7,NA,BAX
A0A024QZD8,NA,TEAD2
A0A024QZE1,NA,IRF3
A0A024QZE8,NA,PHKG2
A0A024QZE9,NA,FLJ20643
A0A024QZF0,NA,MGC3121
A0A024QZF1,23636,NA
A0A024QZH2,NA,FLT3LG
A0A024QZH6,NA,SR-A1
A0A024QZH7,NA,DBP
A0A024QZI2,2217,NA
A0A024QZJ1,NA,ZWINT
A0A024QZJ7,NA,CCDC6
A0A024QZK1,NA,C10orf107
A0A024QZK4,NA,PHYHIPL
A0A024QZK9,NA,KIAA1641
A0A024QZL1,NA,PRG1
A0A024QZL3,NA,COL13A1
A0A024QZL8,NA,CDH23
A0A024QZN2,23234,NA
A0A024QZN5,NA,ZWINT
A0A024QZN9,NA,VDAC2
A0A024QZP5,NA,COL13A1
A0A024QZP7,NA,CDK1
A0A024QZP9,NA,C10orf27
A0A024QZQ0,NA,SFTPA2
A0A024QZR4,NA,ESM1
A0A024QZT8,NA,SERPINB6
A0A024QZT9,NA,NQO2
A0A024QZU2,NA,TUBB2B
A0A024QZU5,NA,PECI
A0A024QZV0,81567,NA
A0A024QZV6,NA,TMEM14C
A0A024QZW6,NA,MGC40222
A0A024QZW7,NA,NUP153
A0A024QZX9,NA,LOC221955
A0A024QZZ1,NA,BTN3A2
A0A024R002,NA,RP3-398D13.1
A0A024R005,NA,ATXN1
A0A024R007,NA,CAGE1
A0A024R014,NA,RANBP9
A0A024R015,NA,DTNBP1
A0A024R032,NA,FYB
A0A024R035,NA,C9
A0A024R039,NA,IL9R
A0A024R043,100129792,NA
A0A024R045,5810,NA
A0A024R047,NA,SEPP1
A0A024R049,NA,MGC42105
A0A024R054,NA,SEPP1
A0A024R057,NA,SSX8
A0A024R064,55901,NA
A0A024R065,NA,CDC2L2
A0A024R080,NA,DVL1
A0A024R087,7690,NA
A0A024R091,NA,VWA1
A0A024R094,NA,PAIP1
A0A024R0A0,NA,MXRA8
A0A024R0A2,NA,RPL37
A0A024R0A3,NA,MGC10334
A0A024R0B2,NA,TNFRSF4
A0A024R0B9,NA,C1orf62
A0A024R0C4,NA,CDC2L2
A0A024R0D2,10717,NA
A0A024R0D5,NA,SCNN1D
A0A024R0D9,NA,CHIA
A0A024R0E4,NA,VWA1
A0A024R0F6,NA,TRIM33
A0A024R0G5,NA,ZNF607
A0A024R0H0,NA,SARS2
A0A024R0I3,389,NA
A0A024R0I4,NA,FLJ13265
A0A024R0J4,NA,PTGFRN
A0A024R0K8,53916,NA
A0A024R0L2,NA,MGC20255
A0A024R0L3,NA,POU2F2
A0A024R0L9,NA,PSG11
A0A024R0N6,NA,SPTBN4
A0A024R0N9,NA,ZNF155
A0A024R0P1,8190,NA
A0A024R0P5,NA,CYP2F1
A0A024R0P8,NA,TGFB1
A0A024R0Q1,NA,ZNF45
A0A024R0Q3,NA,ZNF224
A0A024R0R8,NA,DHX34
A0A024R0S8,NA,XRCC1
A0A024R0T6,8926,NA
A0A024R0V6,NA,NAPA
A0A024R0V8,NA,SEPW1
A0A024R0V9,NA,KIF21A
A0A024R0X0,NA,AP1GBP1
A0A024R0Y1,NA,PIGW
A0A024R0Y2,31,NA
A0A024R0Z8,NA,LMBR1L
A0A024R102,NA,SMARCD1
A0A024R123,NA,PLEKHA9
A0A024R131,NA,C12orf41
A0A024R137,NA,SMARCD1
A0A024R143,NA,TRIM14
A0A024R149,NA,BAAT
A0A024R155,NA,BAAT
A0A024R156,2790,NA
A0A024R172,NA,LTB4DH
A0A024R175,NA,ZNF673
A0A024R177,NA,PRKY
A0A024R187,NA,LOC150223
A0A024R1B5,NA,CRYBB3
A0A024R1B9,NA,BCR
A0A024R1D4,NA,DKFZp434K191
A0A024R1D6,8563,NA
A0A024R1E2,NA,MYO18B
A0A024R1F3,NA,RFPL2
A0A024R1G3,NA,MB
A0A024R1G4,NA,MYO18B
A0A024R1G8,NA,APOL1
A0A024R1H0,NA,RP5-1119A7.4
A0A024R1H1,NA,SELM
A0A024R1I6,NA,HPS4
A0A024R1J1,84133,NA
A0A024R1J3,NA,CDC42EP1
A0A024R1J4,NA,GAS2L1
A0A024R1K2,NA,SFI1
A0A024R1L4,NA,OSBP2
A0A024R1L5,NA,C22orf5
A0A024R1L9,25776,NA
A0A024R1N8,NA,SLC16A8
A0A024R1P8,NA,NPTXR
A0A024R1Q4,NA,APOL1
A0A024R1R5,NA,PDGFB
A0A024R1R7,NA,PICK1
A0A024R1S5,NA,GTPBP1
A0A024R1S6,NA,UNC84B
A0A024R1T2,NA,KRTHA5
A0A024R1T4,NA,TNRC6B
A0A024R1U1,NA,PSMC3IP
A0A024R1U9,NA,G6PC
A0A024R1V5,NA,MLLT6
A0A024R1V7,NA,BRCA1
A0A024R1V8,NA,BRCA1
A0A024R1W0,NA,BRCA1
A0A024R1W8,NA,MLX
A0A024R1W9,NA,PSMC3IP
A0A024R1X0,NA,CASC3
A0A024R1X2,NA,WIRE
A0A024R1X4,28958,NA
A0A024R1X6,NA,KRT14
A0A024R1X8,NA,JUP
A0A024R1Y0,NA,BRCA1
A0A024R1Y1,NA,BRCA1
A0A024R1Y3,NA,NBR1
A0A024R1Y9,NA,CNTNAP1
A0A024R1Z8,NA,BRCA1
A0A024R201,NA,PSMD13
A0A024R208,NA,BET1L
A0A024R209,NA,TRPM1
A0A024R211,NA,MTMR10
A0A024R212,NA,TRPM1
A0A024R214,NA,CPEB1
A0A024R220,NA,KIAA0367
A0A024R223,NA,VPS13A
A0A024R225,NA,TJP2
A0A024R228,NA,HNRPK
A0A024R233,NA,TJP2
A0A024R235,NA,ZCCHC6
A0A024R238,NA,VPS13A
A0A024R250,NA,NOL8
A0A024R254,NA,MAGED1
A0A024R261,6139,NA
A0A024R264,NA,C9orf85
A0A024R269,NA,ACAA2
A0A024R275,NA,RFK
A0A024R282,NA,ANKRD19
A0A024R286,NA,MAGED4
A0A024R2A0,NA,ROR2
A0A024R2B0,NA,KIAA1468
A0A024R2B2,NA,CDH7
A0A024R2C2,NA,PMAIP1
A0A024R2E1,NA,ITPR1
A0A024R2E7,NA,IL17RC
A0A024R2E9,NA,ATG7
A0A024R2F6,NA,SYN2
A0A024R2G9,NA,OXNAD1
A0A024R2H0,NA,TBC1D5
A0A024R2I2,NA,ITPR1
A0A024R2I7,NA,RAD18
A0A024R2J1,NA,CLASP2
A0A024R2J9,NA,TBC1D5
A0A024R2K4,NA,LRRFIP2
A0A024R2K7,NA,TTC21A
A0A024R2K9,NA,AZI2
A0A024R2L7,NA,CLASP2
A0A024R2L8,NA,CTDSPL
A0A024R2M8,NA,XPC
A0A024R2N0,NA,SLC6A6
A0A024R2N1,100506243,NA
A0A024R2P2,NA,COLQ
A0A024R2P3,NA,MOBP
A0A024R2R8,NA,KIF9
A0A024R2S1,NA,MAP4
A0A024R2S6,NA,CLASP2
A0A024R2T1,NA,GPX1
A0A024R2T5,NA,CDCP1
A0A024R2T8,NA,ENDOGL1
A0A024R2T9,NA,USP19
A0A024R2U2,NA,CAMKV
A0A024R2U7,275,NA
A0A024R2V0,NA,MAP4
A0A024R2V2,NA,MAP4
A0A024R2W0,107986084,NA
A0A024R2W8,NA,HYAL3
A0A024R2X1,NA,GMPPB
A0A024R2X9,NA,TCTA
A0A024R2Y4,NA,BSN
A0A024R2Z5,NA,TDGF1
A0A024R2Z6,NA,GNL3
A0A024R300,NA,HYAL2
A0A024R301,NA,CHDH
A0A024R321,NA,FLNB
A0A024R326,NA,RPL29
A0A024R329,NA,GMPPB
A0A024R357,NA,SHQ1
A0A024R363,NA,C3orf63
A0A024R382,NA,CNDP2
A0A024R386,NA,LOC57146
A0A024R391,NA,LOC57149
A0A024R394,NA,CHORDC1
A0A024R3A1,NA,CEP57
A0A024R3A5,NA,TMEM123
A0A024R3B1,NA,CEP57
A0A024R3B4,NA,HSPC148
A0A024R3B8,NA,CCDC82
A0A024R3C0,NA,CASP5
A0A024R3C3,NA,CHORDC1
A0A024R3C8,NA,HSPC148
A0A024R3D1,NA,CEP57
A0A024R3D8,NA,DLAT
A0A024R3F7,NA,SLC37A4
A0A024R3G0,NA,HYOU1
A0A024R3I7,NA,FEZ1
A0A024R3I9,NA,HTR3A
A0A024R3J2,NA,SLC37A2
A0A024R3J3,NA,KIAA0999
A0A024R3J6,NA,SIDT2
A0A024R3K2,NA,RPUSD4
A0A024R3K7,NA,KCNJ5
A0A024R3K8,NA,RICS
A0A024R3L0,NA,CCDC84
A0A024R3L2,NA,ROBO3
A0A024R3L5,NA,PDZD3
A0A024R3M0,NA,SRPR
A0A024R3M9,NA,ROBO3
A0A024R3N1,NA,RICS
A0A024R3N2,NA,NFRKB
A0A024R3N3,NA,APLP2
A0A024R3N5,NA,KIRREL3
A0A024R3N8,NA,TMEM45B
A0A024R3Q9,NA,PYCR2
A0A024R3R5,NA,LBR
A0A024R3R6,NA,NUP133
A0A024R3R7,NA,HEATR1
A0A024R3S4,NA,LGALS8
A0A024R3S9,NA,KMO
A0A024R3T9,NA,JMJD4
A0A024R3U7,NA,PCNXL2
A0A024R3V1,NA,ARID4B
A0A024R3V2,NA,EXO1
A0A024R3W3,130026,NA
A0A024R3X1,NA,LGALS8
A0A024R3X7,NA,HSPE1
A0A024R3Y1,64388,NA
A0A024R3Z8,841,NA
A0A024R402,NA,LOC151194
A0A024R403,NA,FLJ37953
A0A024R406,NA,KCTD18
A0A024R414,NA,CTDSP1
A0A024R418,NA,ZNF142
A0A024R422,NA,ALS2CR4
A0A024R436,NA,ABCB6
A0A024R439,NA,GLB1L
A0A024R441,NA,ZNFN1A2
A0A024R456,NA,COL4A3
A0A024R458,NA,HRB
A0A024R462,NA,FN1
A0A024R465,NA,ZNF142
A0A024R468,NA,CHPF
A0A024R476,NA,PTMA
A0A024R485,NA,SPATA3
A0A024R493,NA,EFHD1
A0A024R4A5,NA,TNRC15
A0A024R4B0,NA,SPATA3
A0A024R4B5,NA,FLJ33590
A0A024R4C8,NA,DFFB
A0A024R4D5,NA,GPC1
A0A024R4E0,NA,DTYMK
A0A024R4E8,NA,PDZK1
A0A024R4G0,NA,KIAA0495
A0A024R4G5,NA,KLK6
A0A024R4H1,NA,PIK3CD
A0A024R4H4,NA,KIF1B
A0A024R4H9,NA,CITED1
A0A024R4I3,9668,NA
A0A024R4I8,94030,NA
A0A024R4J1,NA,FPR1
A0A024R4J3,NA,KIAA2013
A0A024R4K8,NA,SPIB
A0A024R4K9,NA,TMEM120A
A0A024R4L8,NA,LOC91661
A0A024R4M1,NA,FCAR
A0A024R4M5,NA,FCAR
A0A024R4N0,91663,NA
A0A024R4N7,NA,KLK10
A0A024R4P6,388567,NA
A0A024R4Q7,NA,TMC4
A0A024R4R0,NA,ZSCAN1
A0A024R4R7,NA,HSPBP1
A0A024R4S2,NA,PPP1R12C
A0A024R4S3,NA,TNNT1
A0A024R4S4,NA,ZNF542
A0A024R4S8,23619,NA
A0A024R4T2,NA,ZNF304
A0A024R4T6,NA,ZNF544
A0A024R4T7,NA,ZNF446
A0A024R4U5,55615,NA
A0A024R4V7,NA,FLJ20699
A0A024R4V8,NA,GTSE1
A0A024R4W0,NA,SAPS2
A0A024R4W7,1375,NA
A0A024R4X0,NA,CYB5R3
A0A024R4X1,NA,PACSIN2
A0A024R4X4,1120,NA
A0A024R4X7,10762,NA
A0A024R4X9,NA,SULT4A1
A0A024R4Y2,29015,NA
A0A024R4Y7,NA,CTNND1
A0A024R4Y9,NA,C11orf31
A0A024R4Z0,NA,CTNND1
A0A024R4Z1,80829,NA
A0A024R4Z4,80829,NA
A0A024R500,NA,RP3-402G11.12
A0A024R502,NA,NYD-SP21
A0A024R504,NA,C11orf64
A0A024R509,NA,ARSA
A0A024R511,NA,VWCE
A0A024R512,NA,FLJ40629
A0A024R520,NA,SYT7
A0A024R521,NA,PSD4
A0A024R523,NA,PAX8
A0A024R529,NA,DAK
A0A024R531,NA,PAX8
A0A024R540,26580,NA
A0A024R555,NA,MARK2
A0A024R563,NA,PPP1R14B
A0A024R570,NA,MEN1
A0A024R580,NA,CAPN1
A0A024R589,NA,FLJ30934
A0A024R592,NA,GANAB
A0A024R595,NA,SIPA1
A0A024R599,NA,SLC3A2
A0A024R5A3,NA,CAPN1
A0A024R5A9,NA,NXF1
A0A024R5B2,NA,MARK2
A0A024R5B4,NA,CCS
A0A024R5C3,NA,SSH3
A0A024R5C7,50801,NA
A0A024R5E0,NA,CHKA
A0A024R5F8,NA,SUV420H1
A0A024R5G4,NA,NUMA1
A0A024R5G8,NA,STARD10
A0A024R5G9,NA,CTSF
A0A024R5H2,NA,FCHSD2
A0A024R5J3,NA,PHCA
A0A024R5J9,NA,RPS6KB2
A0A024R5K3,NA,NDUFS8
A0A024R5K7,NA,GDPD5
A0A024R5N0,NA,FOLR3
A0A024R5N1,NA,P2RY2
A0A024R5N9,NA,SYTL2
A0A024R5P3,NA,TMEM126B
A0A024R5P5,NA,SDCCAG8
A0A024R5P7,NA,C1orf71
A0A024R5Q1,25764,NA
A0A024R5Q4,NA,GATM
A0A024R5R2,NA,DUOX1
A0A024R5R8,NA,TFB2M
A0A024R5S2,NA,CASC4
A0A024R5S3,79862,NA
A0A024R5S9,NA,NEDD4
A0A024R5T6,NA,ZNF238
A0A024R5U9,NA,C1orf71
A0A024R5V6,NA,RNF111
A0A024R5W1,NA,SUHW4
A0A024R5W3,53944,NA
A0A024R5W4,100820829,NA
A0A024R5W9,NA,MEGF11
A0A024R5X0,NA,OAZ2
A0A024R5X2,58472,NA
A0A024R5X3,NA,SLTM
A0A024R5X9,NA,C15orf20
A0A024R5Y0,NA,GNB5
A0A024R605,NA,ZNF588
A0A024R609,NA,PKM2
A0A024R610,NA,NEO1
A0A024R627,NA,DOC2A
A0A024R637,NA,TBC1D4
A0A024R641,6815,NA
A0A024R643,NA,KIAA1008
A0A024R652,NA,MTHFD1
A0A024R674,NA,SPTB
A0A024R677,NA,GPX2
A0A024R693,3958,NA
A0A024R699,161145,NA
A0A024R6A9,112752,NA
A0A024R6B1,23508,NA
A0A024R6C6,NA,ABCD4
A0A024R6C8,NA,ABCD4
A0A024R6D1,NA,NEK9
A0A024R6E3,NA,SNW1
A0A024R6E8,NA,GALC
A0A024R6F8,NA,C14orf44
A0A024R6G0,NA,TCL6
A0A024R6G6,NA,NDUFB1
A0A024R6G8,NA,ABCD4
A0A024R6H2,NA,DIO2
A0A024R6H5,NA,MLH3
A0A024R6H6,NA,FAM35A
A0A024R6I7,NA,SERPINA1
A0A024R6J2,NA,TCL6
A0A024R6J5,NA,TCL6
A0A024R6J8,NA,DIO2
A0A024R6L8,NA,C14orf102
A0A024R6L9,NA,TCL6
A0A024R6M5,NA,C14orf142
A0A024R6N1,NA,TRAF3
A0A024R6P5,NA,MTA1
A0A024R6Q5,NA,ABCC12
A0A024R6Q8,NA,BRD7
A0A024R6Q9,NA,CYLD
A0A024R6R5,267,NA
A0A024R6U1,NA,KATNB1
A0A024R6U3,57017,NA
A0A024R6U4,NA,BBS2
A0A024R6U6,283849,NA
A0A024R6V0,NA,CMTM1
A0A024R6W0,NA,GOT2
A0A024R6W3,NA,CBFB
A0A024R6W7,NA,E2F4
A0A024R6X7,3299,NA
A0A024R6Y3,64146,NA
A0A024R6Z3,NA,DUS4L
A0A024R6Z5,1506,NA
A0A024R6Z6,84342,NA
A0A024R725,NA,IMPDH1
A0A024R731,NA,NAG6
A0A024R736,NA,NDUFA5
A0A024R737,NA,NAPE-PLD
A0A024R749,NA,DOCK4
A0A024R751,NA,HSPC049
A0A024R752,NA,FOXP2
A0A024R756,NA,IRF5
A0A024R762,NA,HSPC268
A0A024R772,NA,NDUFA5
A0A024R779,NA,SLC35B4
A0A024R798,NA,SLC44A2
A0A024R799,NA,ZNF559
A0A024R7A5,NA,MGAM
A0A024R7C1,3385,NA
A0A024R7C4,NA,FLJ12949
A0A024R7C9,NA,DNM2
A0A024R7D2,NA,SLC44A2
A0A024R7D8,NA,RGL3
A0A024R7E3,NA,DNMT1
A0A024R7F0,NA,FBXW9
A0A024R7F1,NA,PRKCSH
A0A024R7F2,NA,PRDX2
A0A024R7G3,NA,TRMT1
A0A024R7G5,NA,DHPS
A0A024R7H0,NA,DDX39
A0A024R7H7,NA,BCNP1
A0A024R7I8,NA,IL27RA
A0A024R7I9,NA,MGC2747
A0A024R7J6,NA,BCNP1
A0A024R7J9,NA,CYP4F12
A0A024R7K0,NA,SFRS14
A0A024R7K9,NA,SSBP4
A0A024R7N6,NA,PIK3R2
A0A024R7P3,NA,ATP13A1
