uniprot,biogrid
O14798,114322
O14802,116301
O14807,116486
O14810,116028
O14813,106894
O14815,115976
O14817,112961
O14818,111661
O14827,111859
O14828,115378
O14829,111471
O14830,111466
O14832,111282
O14836,117046
O14841,117922
O14862,114837
O14863,113563
O14867,107047
O14874,115583
O14879,109660
O14880,110415
O14893,114059
O14896,109872
O14901,114040
O14905,113321
O14907,119061
O14908,115978
O14910,114352
O14917,118101
O14920,109767
O14921,111935
O14924,111934
O14925,939591
O14926,117327
O14929,114092
O14931,129224
O14933,114672
O14936,114141
O14939,111354
O14944,108381
O14948,116478
O14949,117991
O14950,125182
O14957,116172
O14958,107295
O14964,114593
O14965,112666
O14966,114447
O14967,107477
O14972,115596
O14974,110742
O14975,116194
O14976,108853
O14977,119621
O14978,115431
O14979,115308
O14980,113348
O14981,114506
O14983,106977
O14986,113984
O14994,113857
O15013,114998
O15014,116695
O15015,115075
O15018,116676
O15020,112590
O15021,131980
O15027,115247
O15031,117178
O15033,115203
O15034,117051
O15037,116933
O15040,115224
O15041,115072
O15042,116932
O15047,115088
O15049,116755
O15050,115212
O15054,116752
O15055,114387
O15056,114391
O15060,115211
O15061,116923
O15062,115253
O15063,115061
O15066,114772
O15067,111221
O15068,116865
O15069,116763
O15075,114635
O15078,123163
O15079,115099
O15083,117521
O15084,116847
O15085,115164
O15090,115093
O15091,115044
O15105,110267
O15111,107569
O15116,118104
O15117,108809
O15118,110925
O15119,112788
O15120,115806
O15121,114130
O15123,106782
O15126,114899
O15127,115377
O15130,114175
O15131,110039
O15143,115402
O15144,115415
O15145,115401
O15146,110679
O15151,110359
O15155,115571
O15156,119242
O15160,114909
O15162,111373
O15164,114333
O15165,107209
O15169,113909
O15173,115693
O15182,107497
O15194,115512
O15195,119155
O15197,108365
O15198,110268
O15205,115791
O15209,114695
O15211,111801
O15212,115734
O15213,114694
O15217,109196
O15226,121002
O15228,114021
O15229,114133
O15230,110105
O15231,113525
O15232,110318
O15234,116475
O15235,112098
O15239,110774
O15240,113268
O15243,120123
O15244,112469
O15245,112467
O15247,107605
O15254,113907
O15258,116262
O15259,110927
O15260,112703
O15263,108037
O15264,111589
O15265,112221
O15269,115809
O15270,114894
O15273,114127
O15287,108484
O15294,114049
O15296,106748
O15297,114065
O15303,109173
O15304,115823
O15305,111386
O15315,111827
O15318,115867
O15321,115799
O15327,114348
O15335,107526
O15342,114473
O15344,110427
O15347,109392
O15350,113014
O15353,114034
O15354,109119
O15355,111491
O15357,109848
O15360,108472
O15370,112549
O15371,114213
O15372,114216
O15374,114570
O15375,114569
O15379,114368
O15381,110985
O15382,107062
O15389,114308
O15391,135656
O15392,106829
O15393,112968
O15394,110765
O15397,115781
O15399,109163
O15400,114003
O15403,114568
O15405,118139
O15409,125073
O15417,124158
O15427,114571
O15431,107712
O15432,107713
O15438,114255
O15439,115551
O15440,115368
O15442,107213
O15444,112273
O15446,116060
O15455,112953
O15457,110575
O15460,114464
O15466,118954
O15479,110287
O15480,110288
O15481,110289
O15482,107907
O15484,107187
O15488,114422
O15492,111936
O15496,113987
O15498,115895
O15503,109850
O15504,116278
O15511,115399
O15514,111429
O15516,114944
O15519,114364
O15520,108546
O15523,114204
O15524,114203
O15525,110272
O15527,111018
O15528,107966
O15530,111196
O15533,112755
O15534,111210
O15535,113530
O15537,112161
O15539,114062
O15540,108471
O15541,113523
O15547,114575
O15550,113246
O15551,107757
O15552,109125
O15553,110374
O15554,109984
O43143,108029
O43147,115234
O43148,114269
O43149,116757
O43150,114378
O43151,128327
O43155,117268
O43156,115030
O43157,111377
O43159,116954
O43164,115200
O43166,117503
O43167,115177
O43169,123309
O43172,114576
O43173,119243
O43174,107964
O43175,117618
O43181,110803
O43182,106888
O43184,113731
O43186,107796
O43187,109865
O43189,111271
O43193,109120
O43194,109121
O43196,110576
O43236,111415
O43237,108120
O43240,111636
O43242,111682
O43247,130916
O43248,109467
O43251,117087
O43252,114522
O43255,112373
O43257,115730
O43264,114620
O43272,111609
O43278,112570
O43280,116351
O43281,115567
O43283,114614
O43286,114743
O43290,114546
O43291,115896
O43292,114271
O43293,107983
O43294,112899
O43295,115230
O43296,114815
O43298,116727
O43299,115236
O43300,117508
O43301,129226
O43303,115087
O43304,115066
O43306,106625
O43307,116834
O43310,115150
O43312,115132
O43313,116892
O43314,116864
O43315,106861
O43316,111112
O43318,112748
O43320,114350
O43323,119151
O43324,114898
O43325,121406
O43347,110577
O43353,114300
O43361,132749
O43364,109439
O43365,109440
O43374,115458
O43379,129863
O43390,115530
O43395,114577
O43396,114755
O43399,113018
O43402,115611
O43405,108051
O43414,122498
O43422,111598
O43423,117067
O43424,109152
O43426,114388
O43427,114603
O43432,114220
O43435,112762
O43439,114586
O43447,115728
O43448,114631
O43451,114462
O43462,119495
O43463,112706
O43464,118165
O43474,114726
O43482,116467
O43488,114142
O43490,114369
O43491,108351
O43493,115864
O43497,114427
O43502,111826
O43504,115796
O43505,116229
O43508,114279
O43513,114833
O43516,113295
O43520,111227
O43521,115335
O43524,108598
O43525,109987
O43526,109986
O43529,114868
O43541,110266
O43542,113351
O43543,113350
O43548,114742
O43555,109059
O43556,114424
O43557,114277
O43559,116030
O43561,117971
O43566,115880
O43567,116470
O43570,107225
O43572,116385
O43581,114525
O43583,114131
O43586,114513
O43592,116420
O43593,120917
O43597,115547
O43598,115840
O43602,108008
O43609,115546
O43610,115545
O43612,109310
O43613,109311
O43615,115732
O43617,117997
O43623,112476
O43633,118091
O43638,108596
O43639,114020
O43657,112960
O43660,111370
O43663,114517
O43665,111933
O43670,113540
O43674,110791
O43676,110789
O43677,110797
O43678,110775
O43679,114535
O43680,112803
O43681,106931
O43683,107164
O43684,114621
O43687,114851
O43688,114170
O43692,119244
O43699,107384
O43704,118108
O43707,106596
O43708,109209
O43709,125277
O43711,119030
O43715,119573
O43716,129569
O43719,118149
O43731,116205
O43734,115979
O43736,114841
O43739,114686
O43741,111552
O43745,121996
O43747,106673
O43752,115522
O43759,114592
O43760,114591
O43761,114590
O43763,109436
O43765,112347
O43766,116209
O43768,108343
O43772,107241
O43776,110758
O43781,114022
O43790,110090
O43791,113993
O43795,110567
O43805,114189
O43808,115741
O43809,116237
O43813,115599
O43815,112674
O43818,114584
O43819,115317
O43820,113967
O43822,107211
O43823,115561
O43824,113858
O43825,114250
O43826,108817
O43827,115513
O43829,113373
O43837,109646
O43847,110954
O43852,107263
O43854,115394
O43861,131925
O43865,115987
O43869,117796
O43889,115751
O43896,115972
O43897,112947
O43900,110192
O43903,108890
O43908,113903
O43909,108438
O43913,111043
O43914,113155
O43915,108567
O43916,114104
O43918,106823
O43920,110804
O43921,108263
O43924,111173
O43927,115814
O43929,111042
O43933,111212
O43934,122575
O60216,111822
O60218,121325
O60220,108042
O60224,112637
O60225,112636
O60229,114478
O60231,114027
O60232,115788
O60234,114911
O60237,110743
O60238,107133
O60239,114853
O60240,111361
O60241,107052
O60242,107053
O60243,114793
O60244,114699
O60245,111132
O60248,112548
O60256,111619
O60258,114349
O60259,116371
O60260,111105
O60262,109050
O60264,114045
O60266,106623
O60268,115110
O60269,115070
O60271,114505
O60279,117498
O60281,116675
O60282,110001
O60285,115221
O60287,115207
O60291,116890
O60292,116722
O60293,128206
O60294,115173
O60296,122452
O60299,115109
O60303,116851
O60304,117511
O60306,115065
O60307,116670
O60308,115080
O60312,121443
O60313,111024
O60315,115175
O60318,114406
O60320,116940
O60330,117494
O60331,116969
O60333,116723
O60336,116650
O60337,115587
O60341,116667
O60343,115213
O60346,116843
O60347,116837
O60353,113919
O60356,117695
O60359,115647
O60381,117927
O60383,108930
O60391,125509
O60404,117734
O60427,110180
O60437,111488
O60443,108049
O60447,113584
O60462,114355
O60469,108160
O60476,116111
O60477,107988
O60478,112962
O60479,108091
O60481,113379
O60487,115500
O60488,108478
O60493,114263
O60494,113724
O60496,114508
O60499,114225
O60500,110928
O60502,115948
O60503,106628
O60504,115475
O60506,115755
O60507,114038
O60508,119497
O60512,114246
O60513,114245
O60516,114190
O60518,117924
O60519,107779
O60522,128720
O60542,111607
O60543,107570
O60547,109024
O60548,108595
O60551,114794
O60563,107343
O60565,117754
O60566,107166
O60568,114467
O60573,114856
O60575,118114
O60583,107344
O60602,112955
O60603,112952
O60609,108944
O60610,108073
O60613,114800
O60635,115410
O60636,115407
O60637,115406
O60641,115222
O60645,116464
O60656,120073
O60658,111177
O60662,115607
O60663,110195
O60664,115520
O60667,114648
O60669,114629
O60671,111771
O60673,111912
O60674,109920
O60675,113688
O60676,115358
O60678,115491
O60682,114669
O60683,111215
O60684,117163
O60688,118923
O60701,113205
O60704,114037
O60706,115371
O60711,114801
O60716,107881
O60721,114624
O60725,117026
O60729,114125
O60732,115272
O60733,113986
O60739,115578
O60741,131543
O60749,112526
O60755,114058
O60759,114961
O60760,118128
O60762,114340
O60763,114173
O60765,112800
O60779,115811
O60783,121999
O60784,115354
O60812,131227
O60814,124439
O60825,111229
O60826,118780
O60828,115393
O60829,114884
O60830,115539
O60831,116396
O60832,108080
O60840,107232
O60841,115024
O60844,576089
O60858,115501
O60861,114094
O60869,114260
O60870,116600
O60879,108074
O60880,110246
O60884,115582
O60885,117036
O60888,119628
O60890,111029
O60894,115558
O60895,115557
O60896,115559
O60902,112370
O60906,112494
O60907,112770
O60909,114247
O60911,107895
O60921,109596
O60925,111223
O60927,112852
O60930,128882
O60931,107878
O60934,110763
O60936,114477
O60938,116264
O60939,112232
O60941,108171
O60942,114270
O75015,108509
O75019,116214
O75023,116186
O75027,106540
O75030,110432
O75031,116260
O75037,116684
O75038,115009
O75044,116956
O75051,111376
O75052,115071
O75054,109553
O75056,115027
O75061,115167
O75063,115245
O75064,115238
O75069,115240
O75071,115152
O75072,108512
O75074,110217
O75077,114282
O75078,110351
O75081,107311
O75083,115273
O75084,113920
O75093,112472
O75094,112473
O75095,108273
O75096,110218
O75106,106811
O75110,115389
O75112,116326
O75113,115036
O75116,114860
O75122,116743
O75123,115169
O75127,117493
O75128,116846
O75129,116849
O75131,114412
O75132,115219
O75140,115034
O75143,115120
O75144,116900
O75145,114111
O75146,114493
O75147,116944
O75150,115149
O75151,111272
O75152,115208
O75153,116878
O75154,115076
O75155,116701
O75157,115158
O75159,115013
O75161,129286
O75164,115035
O75165,116908
O75167,115097
O75170,115053
O75173,114885
O75175,110911
O75177,117505
O75179,117519
O75182,116901
O75190,115360
O75191,115268
O75192,114328
O75197,110220
O75204,120786
O75208,121326
O75223,122486
O75251,131889
O75290,129827
O75293,110701
O75298,112166
O75306,110800
O75309,107449
O75311,113705
O75312,114401
O75317,128522
O75319,114024
O75323,108901
O75324,113904
O75325,115711
O75326,114056
O75330,109404
O75333,131494
O75334,114071
O75335,114069
O75339,114057
O75340,115333
O75342,106743
O75344,114046
O75346,121110
O75347,112765
O75348,114922
O75351,114901
O75352,114902
O75354,107393
O75355,107394
O75356,107395
O75360,111610
O75362,113547
O75363,114107
O75364,111326
O75365,116327
O75366,115918
O75367,114927
O75368,112349
O75369,108606
O75376,114973
O75379,114222
O75380,110805
O75381,111218
O75382,115858
O75385,113996
O75386,113140
O75387,114073
O75390,107818
O75391,114924
O75394,114925
O75396,114926
O75398,115777
O75400,120792
O75409,117303
O75410,112730
O75414,115496
O75417,115946
O75419,113915
O75420,122218
O75426,117647
O75427,110214
O75431,115894
O75436,114930
O75437,114910
O75438,110787
O75439,114889
O75443,112866
O75444,110269
O75445,113242
O75446,114346
O75448,115196
O75449,116285
O75452,114167
O75459,114254
O75460,108391
O75461,108208
O75462,114670
O75467,117331
O75469,114380
O75473,114119
O75474,116974
O75475,116339
O75477,115859
O75478,112734
O75486,114042
O75487,108530
O75489,110801
O75493,107224
O75494,115990
O75496,119246
O75503,107614
O75506,109515
O75509,118090
O75521,115718
O75525,115899
O75526,118112
O75528,115737
O75529,117998
O75530,114265
O75531,114342
O75533,117017
O75534,113583
O75541,120720
O75553,107970
O75554,116363
O75556,110402
O75558,114224
O75563,114448
O75569,114143
O75570,114978
O75575,118121
O75578,114087
O75581,110219
O75582,114676
O75586,115319
O75592,116709
O75593,114442
O75594,114474
O75596,115446
O75600,117027
O75602,114945
O75603,114673
O75604,114553
O75607,115640
O75608,115701
O75610,115881
O75616,117666
O75618,114627
O75626,107108
O75628,118781
O75629,114332
O75631,113226
O75635,114252
O75636,114117
O75638,119058
O75643,116661
O75648,120814
O75663,129283
O75665,114055
O75674,115352
O75676,114468
O75677,111920
O75678,115962
O75679,115961
O75683,112705
O75688,111490
O75689,116222
O75691,118152
O75694,114990
O75695,112029
O75711,116469
O75712,108973
O75716,114144
O75717,116340
O75718,115754
O75746,114164
O75751,112468
O75752,114249
O75762,114471
O75764,112782
O75771,111829
O75781,111100
O75783,114495
O75787,115461
O75791,114799
O75792,115789
O75794,114392
O75800,119499
O75807,117172
O75808,112533
O75815,114000
O75817,115542
O75818,116013
O75820,113528
O75821,114215
O75822,114218
O75828,107320
O75829,116245
O75830,111294
O75832,111688
O75838,115773
O75840,114168
O75841,113195
O75843,114420
O75844,115560
O75845,112216
O75864,129838
O75865,122538
O75874,109643
O75879,111211
O75880,112245
O75881,114813
O75882,114033
O75884,115964
O75886,115548
O75888,114278
O75891,116052
O75896,116462
O75897,118082
O75899,114938
O75900,114082
O75901,114619
O75907,114241
O75908,114015
O75909,114339
O75911,114675
O75912,114605
O75914,111099
O75915,115801
O75916,114315
O75920,113898
O75923,113896
O75925,114124
O75928,114523
O75934,115575
O75935,116418
O75936,114008
O75937,116501
O75940,115574
O75943,111821
O75947,115739
O75952,117642
O75953,117350
O75954,116076
O75955,115506
O75956,115555
O75962,113055
O75964,115876
O75969,115817
O75970,114307
O75971,115590
O75973,116090
O75976,107754
O75995,119956
O76003,115793
O76009,110081
O76011,110083
O76013,114236
O76014,114235
O76015,114234
O76021,117587
O76024,113304
O76027,114002
O76031,116056
O76036,114828
O76038,115839
O76039,112668
O76041,115784
O76050,114595
O76054,117085
O76061,114172
O76062,112963
O76064,114492
O76070,112507
O76071,114791
O76074,114205
O76075,108041
O76076,114366
O76080,113546
O76081,114161
O76082,112471
O76083,111178
O76087,117808
O76090,113279
O76093,114344
O76094,112609
O76095,116105
O76096,114100
O76099,117779
O76100,133724
O77932,108132
O94759,113077
O94760,117114
O94761,114798
O94762,114797
O94763,114264
O94766,117620
O94768,114684
O94772,110240
O94776,114652
O94777,114345
O94779,119823
O94782,113241
O94788,114379
O94804,112669
O94805,119529
O94806,117199
O94808,115270
O94810,114314
O94811,116259
O94812,114450
O94813,114756
O94817,114587
O94818,114256
O94822,117509
O94823,116742
O94826,115201
O94827,121522
O94829,115025
O94830,116862
O94832,110726
O94842,115209
O94844,115217
O94850,116733
O94851,115003
O94854,568672
O94855,115204
O94856,116737
O94864,115242
O94868,115205
O94874,116953
O94875,114047
O94876,116663
O94880,115032
O94885,116916
O94886,115074
O94887,115189
O94888,117507
O94889,116877
O94892,115023
O94898,115194
O94900,115107
O94901,116935
O94903,116381
O94905,116331
O94906,117298
O94907,116599
O94910,116528
O94913,119622
